"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_materials","47","NB","NioCorp Developments Ltd.","6.07","5.11%","Rating: Hold3.48","Diversified Metals and Mining","840.04M","NM","-52.20M","-","3.41%","-7.83%","Rating: Strong Buy5.00","-","2.17","","","1512228"
"2026-06-01","top_materials","48","LAR","Lithium Argentina AG","10.27","-1.25%","Rating: Hold3.47","Diversified Metals and Mining","1.70B","NM","-59.39M","-","8.11%","87.05%","Rating: Buy4.00","NM","1.71","","","1440972"
"2026-06-01","top_materials","49","AA","Alcoa Corporation","78.95","1.69%","Rating: Hold3.46","Aluminum","20.49B","19.83","1.03B","0.52%","24.30%","86.01%","Rating: Buy4.00","24.54%","25.83","","","1675149"
"2026-06-01","top_materials","50","ARREF","Amerigo Resources Ltd.","5.02","4.37%","Rating: Hold3.46","Diversified Metals and Mining","779.75M","17.21","46.85M","2.41%","15.62%","77.82%","Rating: Buy4.00","5.18%","1.33","","",""
"2026-06-01","top_materials","51","DOW","Dow Inc.","34.95","3.56%","Rating: Hold3.44","Commodity Chemicals","24.33B","NM","-2.85B","4.15%","-14.66%","41.51%","Rating: Buy3.50","3.12%","20.40","","","1751788"
"2026-06-01","top_materials","52","SSL","Sasol Limited","12.68","2.51%","Rating: Hold3.44","Diversified Chemicals","7.98B","55.29","145.41M","-","-9.77%","90.31%","-Rating: Not Covered","-2.29%","4.30","","","314590"
"2026-06-01","top_materials","53","HUN","Huntsman Corporation","14.87","-3.16%","Rating: Hold3.42","Diversified Chemicals","2.69B","NM","-332.00M","2.28%","15.85%","47.31%","Rating: Buy4.00","2.45%","7.30","","","1307954"
"2026-06-01","top_materials","54","MEOH","Methanex Corporation","61.26","3.65%","Rating: Hold3.42","Commodity Chemicals","4.58B","NM","-45.03M","1.25%","-6.65%","65.96%","-Rating: Not Covered","17.02%","31.57","","","886977"
"2026-06-01","top_materials","55","USAR","USA Rare Earth, Inc.","30.18","7.75%","Rating: Hold3.42","Diversified Metals and Mining","6.25B","NM","-416.38M","-","27.14%","108.25%","Rating: Buy4.20","-","8.77","","","1970622"
"2026-06-01","top_materials","56","BHP","BHP Group Limited","90.41","1.69%","Rating: Hold3.42","Diversified Metals and Mining","227.57B","22.25","10.24B","3.28%","15.38%","62.45%","Rating: Buy4.00","2.61%","45.74","","","811809"
