"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","",""
"2026-04-01","top_consumer_staples","78","JAPAY","Japan Tobacco Inc.","19.18","0.10%","Rating: Hold3.08","Tobacco","67.34B","21.18","3.26B","4.24%","0.42%","17.19%","Rating: Hold3.00","8.76%","13.01","",""
"2026-04-01","top_consumer_staples","79","CAG","Conagra Brands, Inc.","15.44","-1.81%","Rating: Hold3.08","Packaged Foods and Meats","7.52B","NM","-98.00M","8.91%","-18.34%","-14.15%","Rating: Buy4.00","-11.19%","15.04","",""
"2026-04-01","top_consumer_staples","80","EL","The Estée Lauder Companies Inc.","73.21","2.01%","Rating: Hold3.06","Personal Care Products","25.96B","NM","-178.00M","1.95%","-34.44%","-18.55%","Rating: Hold3.00","4.07%","48.37","",""
"2026-04-01","top_consumer_staples","81","KHC","The Kraft Heinz Company","22.31","-0.80%","Rating: Hold3.06","Packaged Foods and Meats","26.62B","NM","-5.85B","7.11%","-8.61%","-13.63%","Rating: Hold2.75","-6.50%","21.04","",""
"2026-04-01","top_consumer_staples","82","CALM","Cal-Maine Foods, Inc.","82.59","4.35%","Rating: Hold3.02","Packaged Foods and Meats","3.77B","3.33","1.15B","3.65%","-9.14%","-15.89%","Rating: Buy4.00","-4.99%","71.92","",""
"2026-04-01","top_consumer_staples","83","RADLY","Raia Drogasil S.A.","4.41","-4.36%","Rating: Hold3.02","Drug Retail","7.94B","31.83","236.74M","-","-7.80%","38.30%","-Rating: Not Covered","20.12%","2.17","",""
"2026-04-01","top_consumer_staples","84","PSMT","PriceSmart, Inc.","151.46","0.64%","Rating: Hold3.01","Consumer Staples Merchandise Retail","4.52B","30.72","150.63M","0.93%","-2.66%","24.19%","Rating: Buy4.00","9.78%","81.25","",""
"2026-04-01","top_consumer_staples","85","WDFC","WD-40 Company","206.12","1.07%","Rating: Hold3.00","Household Products","2.75B","30.99","89.52M","2.00%","-14.38%","3.21%","Rating: Hold2.66","7.43%","175.38","",""
"2026-04-01","top_consumer_staples","86","MDLZ","Mondelez International, Inc.","57.10","-0.94%","Rating: Hold2.97","Packaged Foods and Meats","73.89B","30.50","2.45B","3.47%","-6.40%","-7.73%","Rating: Buy3.60","0.35%","51.20","",""
"2026-04-01","top_consumer_staples","87","DOLE","Dole plc","14.31","0.14%","Rating: Hold2.97","Packaged Foods and Meats","1.36B","14.15","51.32M","2.38%","-10.91%","6.32%","Rating: Buy4.00","2.36%","12.52","",""
"2026-04-01","top_consumer_staples","88","CELH","Celsius Holdings, Inc.","35.22","-0.73%","Rating: Hold2.96","Soft Drinks & Non-alcoholic Beverages","9.12B","141.54","108.00M","-","-33.82%","-38.28%","Rating: Buy4.11","52.59%","32.36","",""
"2026-04-01","top_consumer_staples","89","AMNF","Armanino Foods of Distinction, Inc.","11.05","5.24%","Rating: Hold2.94","Packaged Foods and Meats","326.32M","19.55","17.06M","1.90%","-5.97%","1.94%","Rating: Buy3.50","-","7.27","",""
"2026-04-01","top_consumer_staples","90","SAM","The Boston Beer Company, Inc.","234.79","1.91%","Rating: Hold2.94","Brewers","2.35B","23.30","108.47M","-","1.60%","8.98%","Rating: Strong Buy4.50","-0.10%","185.34","",""
"2026-04-01","top_consumer_staples","91","CABGY","Carlsberg A/S","25.48","1.31%","Rating: Hold2.93","Brewers","16.88B","17.32","937.01M","3.53%","-19.13%","8.08%","Rating: Buy4.00","14.22%","23.10","",""
"2026-04-01","top_consumer_staples","92","CHEF","The Chefs' Warehouse, Inc.","58.83","-1.04%","Rating: Hold2.93","Food Distributors","2.42B","35.46","72.36M","-","-16.73%","1.92%","Rating: Hold3.00","12.65%","45.00","",""
"2026-04-01","top_consumer_staples","93","DANOY","Danone S.A.","16.01","0.00%","Rating: Hold2.93","Packaged Foods and Meats","51.08B","24.09","2.14B","3.04%","-6.65%","-8.57%","-Rating: Not Covered","7.02%","15.08","",""
"2026-04-01","top_consumer_staples","94","INGR","Ingredion Incorporated","111.57","-0.24%","Rating: Hold2.92","Agricultural Products & Services","7.09B","10.08","729.00M","2.91%","-4.09%","-7.74%","Rating: Buy3.50","2.81%","102.31","",""
"2026-04-01","top_consumer_staples","95","IPST","IP Strategy Holdings, Inc.","0.26","-1.40%","Rating: Hold2.91","Distillers and Vintners","2.71M","0.00","181.22M","-","-61.40%","-98.39%","-Rating: Not Covered","-","0.24","",""
"2026-04-01","top_consumer_staples","96","TBBB","BBB Foods Inc.","34.95","-1.19%","Rating: Hold2.90","Food Retail","4.06B","NM","-157.67M","-","-2.96%","31.19%","Rating: Hold3.00","32.57%","23.81","",""
"2026-04-01","top_consumer_staples","97","JSAIY","J Sainsbury plc","18.33","0.45%","Rating: Hold2.90","Food Retail","10.02B","17.76","448.89M","2.40%","-4.25%","-0.16%","-Rating: Not Covered","4.66%","11.68","",""
"2026-04-01","top_consumer_staples","98","CLX","The Clorox Company","104.54","0.88%","Rating: Hold2.89","Household Products","12.53B","16.91","755.00M","4.79%","-18.50%","-15.95%","Rating: Hold3.33","3.26%","96.66","",""
"2026-04-01","top_consumer_staples","99","AVO","Mission Produce, Inc.","13.96","1.45%","Rating: Hold2.87","Packaged Foods and Meats","974.85M","29.38","33.10M","-","-3.03%","14.48%","Rating: Hold3.00","-0.28%","9.60","",""
"2026-04-01","top_consumer_staples","100","ALCO","Alico, Inc.","41.06","-0.48%","Rating: Hold2.86","Agricultural Products & Services","315.91M","NM","-141.65M","0.48%","-0.05%","19.04%","Rating: Strong Buy5.00","NM","27.61","",""
