"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_utility","42","PNW","Pinnacle West Capital Corporation","97.82","-1.93%","Rating: Hold3.04","Electric Utilities","12.09B","18.76","654.10M","3.65%","-1.90%","9.77%","Rating: Hold3.00","8.22%","85.32","","","764622"
"2026-06-01","top_utility","43","RGCO","RGC Resources, Inc.","23.07","0.09%","Rating: Hold3.04","Gas Utilities","239.88M","17.13","13.96M","3.77%","4.02%","2.17%","-Rating: Not Covered","-","19.68","","","1069533"
"2026-06-01","top_utility","44","CMS","CMS Energy Corporation","71.04","-2.11%","Rating: Hold3.03","Multi-Utilities","22.42B","20.02","1.11B","3.14%","-2.89%","-3.80%","-Rating: Not Covered","12.33%","68.41","","","811156"
"2026-06-01","top_utility","45","ESOCF","Enel SpA","11.11","-0.85%","Rating: Hold3.02","Electric Utilities","112.66B","25.72","4.71B","4.80%","-0.44%","8.53%","Rating: Buy4.00","5.00%","8.70","","",""
"2026-06-01","top_utility","46","OGE","OGE Energy Corp.","45.98","-2.65%","Rating: Hold3.00","Electric Utilities","9.75B","21.07","458.20M","3.60%","-0.23%","3.17%","-Rating: Not Covered","7.49%","41.70","","","1021635"
"2026-06-01","top_utility","47","UUGRY","United Utilities Group PLC","35.36","-2.59%","Rating: Hold2.98","Water Utilities","13.45B","15.94","776.66M","5.25%","2.98%","10.60%","-Rating: Not Covered","17.96%","29.20","","",""
"2026-06-01","top_utility","48","PPL","PPL Corporation","34.60","-2.25%","Rating: Hold2.98","Electric Utilities","26.63B","21.66","1.22B","3.22%","-8.46%","-4.09%","Rating: Hold3.00","14.30%","33.17","","","922224"
"2026-06-01","top_utility","49","EDPFY","EDP, S.A.","50.55","-0.89%","Rating: Hold2.97","Electric Utilities","21.06B","16.51","1.27B","4.73%","-3.61%","14.56%","Rating: Buy4.00","4.18%","39.89","","","1039610"
"2026-06-01","top_utility","50","BEP","Brookfield Renewable Partners L.P. Limited Partnership Units","37.30","0.57%","Rating: Hold2.97","Renewable Electricity","25.28B","1,148.98","22.00M","4.23%","15.62%","29.23%","Rating: Hold3.33","10.92%","23.52","","","1533232"
"2026-06-01","top_utility","51","EGIEY","Engie Brasil Energia S.A.","6.62","-1.05%","Rating: Hold2.97","Renewable Electricity","7.49B","15.12","495.34M","2.91%","-4.70%","11.77%","-Rating: Not Covered","7.36%","5.05","","",""
"2026-06-01","top_utility","52","PEG","Public Service Enterprise Group Incorporated","76.95","-2.16%","Rating: Hold2.96","Multi-Utilities","39.19B","17.40","2.26B","3.41%","-1.18%","-5.83%","Rating: Hold3.00","14.03%","76.05","","","788784"
"2026-06-01","top_utility","53","ORA","Ormat Technologies, Inc.","136.96","-0.20%","Rating: Hold2.96","Renewable Electricity","8.43B","66.19","127.60M","0.35%","24.39%","21.54%","Rating: Buy3.50","7.43%","73.26","","","1296445"
"2026-06-01","top_utility","54","CNP","CenterPoint Energy, Inc.","41.45","-1.93%","Rating: Hold2.96","Multi-Utilities","27.65B","25.92","1.07B","2.18%","-1.31%","5.70%","Rating: Buy4.00","11.19%","35.46","","","1130310"
"2026-06-01","top_utility","55","SRE","Sempra","87.88","-1.40%","Rating: Hold2.96","Multi-Utilities","58.26B","30.29","1.96B","2.95%","-3.79%","-5.90%","Rating: Buy4.00","9.11%","73.06","","","1032208"
"2026-06-01","top_utility","56","FE","FirstEnergy Corp.","45.64","-1.62%","Rating: Hold2.96","Electric Utilities","26.83B","25.20","1.07B","4.01%","-5.21%","-2.79%","Rating: Hold3.00","7.33%","39.28","","","1031296"
