Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"INVX","Innovex International, Inc.","Oil and Gas - Mechanical and and Equipment","27.57","0.00%","-0.75%","13.20%","-0.75%","0.00%","-31.03","1,898.53","20.98","NA","10.00%","NA","Mar 05,2026","C","B","C","B","-0.29%","1.94"
"INSE","Inspired Entertainment","Technology Services","7.23","0.00%","2.70%","4.48%","-19.36%","-9.09%","-172","192.86","28.92","NA","400.00%","NA","Mar 13,2026","A","D","F","C","2.99%",".63"
"IIIN","Insteel Industries","Steel - Speciality","26.04","0.45%","4.60%","-21.92%","-56.58%","-27.81%","-66.25","513.04","20","1.67","-40.00%","12.00%","Apr 21,2026","D","F","C","F","0.84%",".74"
"IP","International Paper","Paper and Related Products","32.22","5.82%","-2.73%","-8.71%","-12.48%","-8.15%","-16.67","16,816.48","19.94","NA","895.00%","NA","Apr 24,2026","C","C","D","C","4.40%",".67"
"JILL","J.Jill","Retail - Apparel and Shoes","12.45","2.90%","-6.13%","11.01%","-12.56%","-10.33%","83.33","184.84","6.21","NA","-18.03%","NA","Apr 08,2026","A","D","D","C","-2.67%",".31"
"KBH","KB Home","Building Products - Home Builders","48.96","1.94%","-6.93%","1.16%","-11.85%","-7.54%","0","3,222.63","16.42","8.97","-51.99%","1.83%","Mar 28,2026","D","F","C","F","-2.93%",".54"
"KKR","KKR & Co.","Financial - Investment Management","104.13","0.71%","1.82%","13.65%","-6.15%","-3.23%","-3.45","92,436.00","17.12",".81","24.44%","21.06%","Apr 23,2026","F","F","F","F","-0.63%","4.75"
"KREF","KKR Real Estate Finance Trust","REIT and Equity Trust","6.40","15.75%","5.66%","2.09%","-39.39%","-65.44%","-166.67","408.31","31.75","NA","-48.72%","NA","Apr 21,2026","F","C","D","D","3.59%",".98"
"KEP","Korea Electric Power","Utility - Electric Power","15.16","3.45%","-3.20%","7.00%","-0.43%","NA","1.44","19,425.83","4.37",".17","-25.85%","26.13%","Apr 01,2026","A","C","C","B","-1.05%",".28"
"KRO","Kronos Worldwide","Chemical - Diversified ","7.59","2.54%","10.67%","23.70%","0.00%","0.00%","-176.92","906.62","NA","NA","65.63%","NA","Mar 14,2026","C","A","C","B","5.91%",".49"
"KLYCY","Kunlun Energy","Oil and Gas - Exploration and Production - International","10.08","3.65%","4.24%","9.45%","0.00%","0.00%","NA","8,728.07","10.39","NA","2.11%","NA","May 01,2026","A","C","B","B","0.00%","NA"
"KD","Kyndryl Holdings, Inc.","Technology Services","14.47","0.00%","5.82%","8.54%","0.00%","0.00%","-13.33","3,237.42","6.44","NA","43.70%","NA","May 01,2026","A","B","B","A","3.91%",".21"
"FSTR","L.B. Foster","Steel - Producers","34.56","0.00%","-4.15%","9.68%","0.00%","0.00%","-66.67","321.08","19.87","NA","124.64%","NA","Mar 05,2026","B","A","A","A","0.29%",".59"
"LTM","LATAM Airlines Group","Transportation - Airline","46.22","1.88%","-5.48%","-3.92%","-16.10%","0.00%","25.19","13,568.72","10.97","1.31","-12.93%","8.35%","Apr 22,2026","A","A","D","A","-0.57%",".94"
"LADR","Ladder Capital Corp","REIT and Equity Trust","10.29","8.90%","0.00%","5.73%","-1.31%","0.56%","0","1,315.59","10.31",".73","13.64%","14.17%","Apr 29,2026","D","F","F","F","0.58%","3.3"
"LB","LandBridge Company LLC","Oil and Gas - Integrated - United States","66.00","0.73%","-3.25%","-4.56%","-13.42%","-10.53%","-61.29","5,093.28","22.02","NA","219.15%","NA","Apr 29,2026","F","B","C","D","-3.87%","25.58"
