Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"ONTO","Onto Innovation","Nanotechnology","299.07","0.00%","-4.85%","35.91%","4.96%","11.07%","-1.56","14,570.89","43.56","1.45","36.03%","30.00%","Apr 23,2026","F","D","B","F","-0.73%","14.49"
"SBLK","Star Bulk Carriers","Transportation - Shipping","25.57","5.85%","4.33%","3.95%","59.13%","29.96%","10.17","2,867.37","6.3","NA","313.40%","NA","Apr 23,2026","B","D","D","C","0.60%","2.75"
"AMN","AMN Healthcare Services","Business - Services","21.35","0.00%","3.78%","16.04%","-1.70%","-0.71%","0","816.10","10.96",".87","41.91%","12.57%","Apr 22,2026","A","D","F","C","3.18%",".3"
"XOM","Exxon Mobil","Oil and Gas - Integrated - International","152.44","2.70%","2.58%","-4.94%","37.25%","15.88%","8.41","634,914.50","13.67",".69","59.94%","19.87%","Apr 22,2026","C","C","C","C","-1.02%","1.9"
"PARR","Par Pacific","Oil and Gas - Refining and Marketing","66.49","0.00%","1.81%","0.71%","72.96%","22.38%","-3.31","3,232.91","4.61","NA","87.70%","NA","Apr 22,2026","A","C","C","A","-0.49%",".43"
"PBAM","Private Bancorp of America","Banks - Southwest","73.90","0.00%","0.93%","9.63%","13.04%","12.24%","18.29","428.57","9.14","NA","18.64%","NA","Apr 22,2026","C","F","C","D","-0.21%","2.45"
"VLO","Valero Energy","Oil and Gas - Refining and Marketing","249.24","1.94%","4.67%","1.14%","45.08%","24.50%","37.46","73,820.61","10.69",".4","117.72%","26.58%","Apr 22,2026","B","B","A","A","-2.26%",".59"
"CVE","Cenovus Energy","Oil and Gas - Integrated - Canadian","29.39","2.00%","11.34%","10.20%","32.75%","19.31%","28.57","54,878.60","12.82","NA","48.05%","NA","Apr 21,2026","C","B","F","B","0.10%","1.54"
"CHRD","Chord Energy Corporation","Oil and Gas - Exploration and Production - United States","147.84","3.58%","7.21%","2.15%","59.02%","18.15%","9.4","8,222.89","8.56","NA","77.75%","NA","Apr 21,2026","B","F","D","D","-0.37%","1.69"
"DRD","DRDGOLD Limited","Mining - Gold","27.03","1.77%","-8.07%","-14.17%","0.00%","0.00%","NA","2,315.37","1.88","NA","894.41%","NA","Apr 21,2026","C","A","F","C","-1.40%","NA"
"EC","Ecopetrol","Oil and Gas - Integrated - International","13.90","4.75%","0.87%","-8.06%","42.94%","5.86%","-36.36","28,617.22","5.81",".67","NA","8.70%","Apr 21,2026","A","C","D","A","-1.69%","1.03"
"GSBC","Great Southern Bancorp","Financial - Savings and Loan","69.22","2.50%","2.98%","7.47%","10.61%","6.86%","24.41","755.03","11.79","NA","-5.65%","NA","Apr 21,2026","C","F","B","F","0.95%","2.26"
"MNR","Mach Natural Resources LP","Oil and Gas - Exploration and Production - United States","13.88","15.39%","5.67%","-1.99%","7.35%","1.85%","65.38","2,318.05","7.87","NA","60.55%","NA","Apr 21,2026","B","F","C","C","-0.14%","1.97"
"MGY","Magnolia Oil & Gas Corp","Oil and Gas - Exploration and Production - United States","30.49","2.19%","2.91%","-3.06%","8.24%","6.41%","2.78","5,608.95","11.4","1.99","47.49%","5.74%","Apr 21,2026","C","D","B","D","-0.50%","4.28"
"OXY","Occidental Petroleum","Oil and Gas - Integrated - United States","59.39","1.77%","2.78%","-6.77%","37.92%","4.64%","63.16","58,222.42","12.94","NA","105.43%","NA","Apr 21,2026","B","F","D","D","-3.09%","2.29"
"SPNT","SiriusPoint","Insurance - Multi line","23.26","0.00%","-2.15%","4.78%","1.93%","0.18%","29.63","2,720.01","9.11","NA","0.00%","NA","Apr 21,2026","A","D","D","C","-0.68%",".85"
"TTE","TotalEnergies","Oil and Gas - Refining and Marketing","92.29","1.59%","3.40%","0.42%","20.68%","20.69%","23.12","222,456.72","9.28","3.49","45.14%","2.66%","Apr 21,2026","B","C","B","B","0.08%","1.1"
"UROY","Uranium Royalty","Alternative Energy - Other","3.85","0.00%","1.33%","2.98%","200.00%","125.00%","200","556.63","190","NA","100.00%","NA","Apr 21,2026","F","B","D","D","-2.56%","12.6"
"CHMG","Chemung Financial Corp","Banks - Southeast","66.65","2.06%","-1.11%","23.37%","4.17%","4.57%","17.18","318.52","9.79","NA","16.38%","NA","Apr 18,2026","C","D","A","C","-0.48%","2.23"
"VNCE","Vince Holding","Textile - Apparel","5.20","0.00%","2.29%","107.17%","184.62%","NA","1900","63.08","13.27","NA","-15.91%","NA","Apr 18,2026","A","A","B","A","-1.60%",".21"
"BSVN","Bank7","Banks - Southeast","43.49","2.48%","-0.50%","5.89%","5.95%","2.25%","23.76","414.00","9.77","NA","-1.11%","NA","Apr 17,2026","C","F","C","F","1.28%","2.94"
"BFH","Bread Financial","Financial - Miscellaneous Services","85.35","1.08%","-0.95%","16.87%","10.90%","11.82%","39.33","3,448.34","8.18","1.18","-13.73%","6.91%","Apr 17,2026","B","C","C","A","0.66%",".73"
"CBOE","Cboe Global Markets","Securities and Exchanges","338.62","0.88%","7.62%","12.76%","6.63%","3.95%","9.79","34,246.53","26.15","1.68","17.15%","15.60%","Apr 17,2026","F","F","B","F","8.95%","7.15"
"CRDO","Credo Technology Group","Electronics - Semiconductors","182.20","0.00%","-5.47%","81.75%","2.35%","0.00%","11.46","34,008.88","39.35","NA","371.43%","NA","Apr 17,2026","F","B","B","D","5.96%","31.84"
"SNEX","StoneX Group","Financial - Miscellaneous Services","105.61","0.00%","-0.90%","24.69%","10.13%","6.01%","21.36","8,277.92","18.14","NA","47.58%","NA","Apr 17,2026","C","B","C","B","-0.79%",".06"
"BE","Bloom Energy","Alternative Energy - Other","281.98","0.00%","25.67%","114.20%","50.73%","38.45%","388.89","81,504.87","152.1","NA","151.32%","NA","Apr 15,2026","F","B","A","D","2.53%","33.28"
"CALY","Callaway Golf Company","Leisure and Recreation Products","14.41","0.00%","-0.98%","9.30%","17.01%","9.59%","100","2,758.76","31.49","NA","128.57%","NA","Apr 15,2026","C","C","B","B","-0.92%",".79"
"DIOD","Diodes","Electronics - Semiconductors","108.58","0.00%","3.68%","57.83%","8.89%","34.59%","30.77","4,979.75","44.18","NA","100.82%","NA","Apr 15,2026","D","C","C","D","1.02%","3.36"
"FGI","FGI Industries","Retail - Home Furnishings","7.47","0.00%","-8.91%","119.09%","74.53%","NA","130.23","16.26","NA","NA","91.56%","NA","Apr 15,2026","C","A","C","A","20.67%",".12"
"KMT","Kennametal","Manufacturing - Tools & Related Products","37.49","2.08%","-1.86%","6.89%","9.13%","8.64%","34.29","2,931.37","15.83",".6","81.34%","26.30%","Apr 15,2026","C","C","B","B","-0.62%","1.44"
"COP","ConocoPhillips","Oil and Gas - Integrated - United States","123.92","2.73%","1.17%","-5.62%","20.89%","8.78%","9.25","150,150.50","13.01","1.74","53.73%","7.49%","Apr 14,2026","C","C","A","B","-2.06%","2.48"
"PAM","Pampa Energia","Utility - Electric Power","80.90","0.00%","-1.63%","-11.20%","2.09%","2.41%","361.54","4,311.20","9.02","3.09","26.70%","2.92%","Apr 14,2026","B","B","B","A","-4.37%","2.16"
"RCMT","RCM Technologies","Staffing Firms","31.99","0.00%","-1.14%","61.97%","8.63%","NA","-6.67","219.58","11.28","NA","10.80%","NA","Apr 14,2026","B","F","B","C","-0.10%",".69"
"SHEL","Shell","Oil and Gas - Integrated - International","89.68","3.34%","-0.17%","-4.43%","24.80%","21.64%","-5.79","251,981.11","8.93",".48","58.25%","18.62%","Apr 14,2026","A","D","A","B","-1.86%",".92"
"UAA","Under Armour","Textile - Apparel","6.24","0.00%","1.45%","11.92%","0.00%","0.00%","550","2,678.85","28.24","2.45","-64.52%","11.55%","Apr 14,2026","D","A","F","C","0.00%",".54"
"VREX","VAREX IMAGING","Medical - Products","11.88","0.00%","-7.34%","10.57%","0.00%","0.00%","35.71","486.46","12.55","NA","3.33%","NA","Apr 14,2026","B","F","B","C","-0.34%",".57"
"AA","Alcoa","Metal Products - Distribution","61.62","0.64%","-5.12%","-12.44%","35.26%","35.74%","-12.5","16,525.71","7.88","NA","110.88%","NA","Apr 11,2026","B","F","D","F","-1.82%","1.31"
"BWAY","Brainsway","Medical - Products","16.56","0.00%","2.87%","24.10%","0.00%","0.00%","133.33","674.16","54.91","NA","-13.89%","NA","Apr 11,2026","F","B","F","F","1.69%","12.91"
"REFI","Chicago Atlantic Real Estate Finance","Financial - Miscellaneous Services","12.03","15.65%","-1.15%","9.08%","0.00%","0.00%","2.38","254.70","6.3","NA","1.60%","NA","Apr 11,2026","C","F","F","F","0.84%","4.6"
"FIVE","Five Below","Retail - Miscellaneous","233.42","0.00%","-1.49%","-2.07%","0.00%","0.00%","8.02","12,733.56","28.99","1.77","19.19%","16.36%","Apr 11,2026","D","A","F","D","-2.18%","2.67"
"NB","NioCorp Developments Ltd.","Mining - Miscellaneous","6.12","0.00%","6.89%","30.67%","18.70%","0.00%","94.32","863.50","NA","NA","-62.86%","NA","Apr 11,2026","F","D","D","F","1.34%","NA"
"ASCCY","ASICS Corporation Unsponsored ADR","Leisure and Recreation Products","27.76","0.43%","-0.40%","-0.22%","0.00%","0.00%","NA","20,183.57","24.54","NA","20.43%","NA","Apr 10,2026","F","A","D","C","-2.36%","3.72"
"GCT","GigaCloud Technology Inc.","Technology Services","44.42","0.00%","-3.51%","0.71%","0.00%","0.00%","60","1,651.48","11","NA","14.21%","NA","Apr 10,2026","A","A","C","A","1.37%","1.28"
"GRDN","Guardian Pharmacy Services, Inc.","Medical - Drugs","36.88","0.00%","-0.53%","-1.63%","-0.40%","-1.10%","37.04","2,366.29","30.14","2.33","15.89%","12.92%","Apr 10,2026","C","A","F","B","0.73%","1.63"
"TPST","Tempest Therapeutics","Medical - Drugs","2.12","0.00%","13.97%","28.30%","0.00%","0.00%","0","29.26","NA","NA","78.83%","NA","Apr 10,2026","F","D","F","F","2.51%","NA"
"CGNT","Cognyte Software","Internet - Software","10.13","0.00%","1.67%","16.07%","0.00%","0.00%","900","712.51","20.31","NA","71.43%","NA","Apr 09,2026","C","A","D","A","4.50%","1.78"
"MTDR","Matador Resources","Oil and Gas - Exploration and Production - United States","62.97","2.41%","3.14%","-0.86%","6.39%","5.38%","22.54","7,745.17","8.51","1.93","300.55%","4.40%","Apr 09,2026","B","F","F","D","-1.70%","2.1"
"REPYY","Repsol","Oil and Gas - Integrated - International","26.56","3.37%","10.05%","-3.87%","21.68%","16.47%","-1.1","29,889.32","5.41",".26","101.61%","20.68%","Apr 09,2026","A","C","C","A","0.00%",".46"
"REPX","Riley Exploration Permian","Oil and Gas - Exploration and Production - United States","36.44","4.39%","3.23%","-0.38%","-14.65%","2.44%","62.65","785.92","6.73","NA","4.63%","NA","Apr 09,2026","A","D","D","B","0.75%","2"
"SSL","Sasol","Oil and Gas - Integrated - International","13.85","0.00%","6.45%","10.22%","46.01%","32.94%","NA","8,896.44","5.76","1.2","23.32%","4.78%","Apr 09,2026","A","B","C","A","-0.87%","NA"
"VIRT","Virtu Financial","Financial - Miscellaneous Services","48.88","2.00%","-0.84%","4.11%","18.30%","8.38%","34.94","7,442.46","8.56","3.28","-1.92%","2.61%","Apr 09,2026","B","D","A","B","-3.10%","1.91"
"PENG","Penguin Solutions, Inc.","Internet - Software","33.25","0.00%","1.79%","50.99%","7.65%","8.70%","20.93","1,585.35","14.33","NA","14.74%","NA","Apr 08,2026","B","D","C","C","2.73%","1.18"
