Date,Type,Rank,Symbol,Company Name,Quant,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
2023-11-01,top_rated_overall,22,TCPC,BlackRock TCP Capital Corp,RATING: STRONG BUY4.75,RATING: BUY4.00,RATING: BUY4.00,656.24M,11.62%,A+,A-,A,B-,A
2023-11-01,top_rated_overall,23,ICAGY,International Consolidated Airlines Group S.A.,RATING: STRONG BUY4.73,RATING: BUY4.00,RATING: STRONG BUY5.00,9.15B,-,A+,B+,A+,B-,A
2023-11-01,top_rated_overall,24,INSW,"International Seaways, Inc.",RATING: STRONG BUY4.72,RATING: STRONG BUY4.50,RATING: STRONG BUY4.85,2.42B,0.97%,B-,A+,B,A-,B
2023-11-01,top_rated_overall,25,FDUS,Fidus Investment,RATING: STRONG BUY4.71,RATING: BUY4.00,RATING: BUY4.16,492.65M,8.17%,A,B-,A,B-,A+
2023-11-01,top_rated_overall,26,EPRT,"Essential Properties Realty Trust, Inc.",RATING: STRONG BUY4.71,RATING: BUY3.75,RATING: BUY4.45,3.66B,4.75%,B-,A,A+,A-,B+
2023-11-01,top_rated_overall,27,OBDC,Blue Owl Capital Corporation,RATING: STRONG BUY4.70,RATING: BUY3.83,RATING: BUY4.33,5.45B,9.44%,A,A-,A,A-,B+
2023-11-01,top_rated_overall,28,MFIC,MidCap Financial Investment Corporation,RATING: STRONG BUY4.69,RATING: BUY3.66,RATING: BUY3.70,882.22M,11.17%,A,B-,A,A-,B+
2023-11-01,top_rated_overall,29,TH,Target Hospitality Corp.,RATING: STRONG BUY4.65,RATING: BUY4.00,RATING: STRONG BUY5.00,1.39B,-,B,A-,A,A-,A
2023-11-01,top_rated_overall,30,ROCK,"Gibraltar Industries, Inc.",RATING: STRONG BUY4.65,RATING: BUY4.00,RATING: STRONG BUY4.66,2.01B,-,B-,B+,B+,A-,A+
2023-11-01,top_rated_overall,31,PCRFY,Panasonic Holdings Corporation,RATING: STRONG BUY4.64,RATING: BUY4.00,RATING: BUY4.33,21.05B,2.41%,B+,A-,A,B-,A+
2023-11-01,top_rated_overall,32,HUT,Hut 8 Mining Corp.,RATING: STRONG BUY4.63,RATING: BUY3.66,RATING: BUY3.66,522.22M,-,A,B+,B-,B,A-
2023-11-01,top_rated_overall,33,CGBD,Carlyle Secured Lending Inc.,RATING: STRONG BUY4.61,RATING: BUY3.50,RATING: BUY3.66,735.51M,10.70%,A,B,A+,B,B
2023-11-01,top_rated_overall,34,ANYYY,"Aena S.M.E., S.A.",RATING: STRONG BUY4.61,RATING: BUY4.00,RATING: STRONG BUY5.00,23.37B,3.36%,B-,A,A,B,A
2023-11-01,top_rated_overall,35,UTHR,United Therapeutics Corporation,RATING: STRONG BUY4.59,RATING: BUY3.50,RATING: BUY4.13,10.55B,-,B+,B-,A+,B+,A
2023-11-01,top_rated_overall,36,AER,AerCap Holdings N.V.,RATING: STRONG BUY4.59,RATING: STRONG BUY4.75,RATING: STRONG BUY4.77,13.61B,-,B,B-,A+,B+,B+
2023-11-01,top_rated_overall,37,DESP,"Despegar.com, Corp.",RATING: STRONG BUY4.58,RATING: BUY4.00,RATING: STRONG BUY4.60,473.62M,-,B,A-,B,B+,A-
2023-11-01,top_rated_overall,38,HST,"Host Hotels & Resorts, Inc.",RATING: STRONG BUY4.57,RATING: BUY3.66,RATING: BUY4.09,11.98B,3.40%,B-,A-,A,B,B
2023-11-01,top_rated_overall,39,KMTUY,Komatsu Ltd.,RATING: STRONG BUY4.55,RATING: BUY4.00,RATING: STRONG BUY5.00,22.46B,2.16%,B+,B,B,B-,A-
2023-11-01,top_rated_overall,40,SSREY,Swiss Re AG,RATING: STRONG BUY4.55,RATING: BUY4.00,RATING: BUY4.00,32.06B,5.75%,B-,A+,A,A,B-
2023-11-01,top_rated_overall,41,MOH,"Molina Healthcare, Inc.",RATING: STRONG BUY4.53,RATING: BUY4.00,RATING: BUY3.61,19.67B,-,B,B-,A,A,B
2023-11-01,top_rated_overall,42,USFD,US Foods Holding Corp.,RATING: STRONG BUY4.50,RATING: BUY3.50,RATING: BUY4.26,10.16B,-,B+,A+,B-,A-,B-
2023-11-01,top_rated_overall,43,RLJ,RLJ Lodging Trust,RATING: BUY4.42,RATING: BUY3.75,RATING: BUY3.70,1.60B,3.00%,B-,A,A-,B,B-
2023-11-01,top_rated_overall,44,VYGR,"Voyager Therapeutics, Inc.",RATING: BUY4.40,RATING: BUY4.00,RATING: BUY4.42,294.57M,-,A+,A,A+,B,B
2023-11-01,top_rated_overall,45,CX,"CEMEX, S.A.B. de C.V.",RATING: BUY4.31,RATING: BUY3.50,RATING: BUY3.88,9.08B,-,B,B+,B+,A,A-
2023-11-01,top_rated_overall,46,ALKS,Alkermes plc,RATING: BUY4.28,RATING: BUY3.50,RATING: BUY3.90,4.14B,-,B-,A+,A,B+,B+
2023-11-01,top_rated_overall,47,IQ,"iQIYI, Inc.",RATING: BUY4.20,RATING: BUY4.00,RATING: BUY4.29,4.77B,-,B+,A-,A,B+,B
2023-11-01,top_rated_overall,48,GSM,Ferroglobe PLC,RATING: BUY4.08,RATING: BUY4.25,RATING: STRONG BUY5.00,880.94M,-,A+,A-,B+,B,B+
2023-11-01,top_rated_overall,49,MGNX,"MacroGenics, Inc.",RATING: BUY4.05,RATING: BUY4.00,RATING: BUY4.00,328.95M,-,B,B+,B+,B+,B+
2023-11-01,top_rated_overall,50,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",RATING: BUY4.02,RATING: BUY4.00,RATING: BUY3.63,17.13B,3.94%,B,B,B+,A-,B-
2023-11-01,top_rated_overall,51,PSTX,"Poseida Therapeutics, Inc.",RATING: BUY3.78,RATING: BUY4.00,RATING: STRONG BUY4.60,233.36M,-,A-,A-,B+,B,B+
2023-11-01,top_rated_overall,52,SILV,SilverCrest Metals Inc.,RATING: BUY3.68,RATING: BUY4.00,RATING: BUY3.85,765.61M,-,B-,B+,B+,B-,A-
2023-11-01,top_rated_overall,53,VMD,"Viemed Healthcare, Inc.",RATING: BUY3.58,RATING: BUY4.00,RATING: STRONG BUY5.00,286.07M,-,B,B,A,B-,B-
2023-11-01,top_quant,1,FNMA,Federal National Mortgage Association,RATING: STRONG BUY4.99,-RATING: NOT COVERED,RATING: SELL2.00,4.34B,-,A+,A+,A+,A+,C+
2023-11-01,top_quant,2,META,"Meta Platforms, Inc.",RATING: STRONG BUY4.99,RATING: BUY3.76,RATING: STRONG BUY4.52,808.48B,-,D+,B+,A+,A+,A+
2023-11-01,top_quant,3,ANF,Abercrombie & Fitch Co.,RATING: STRONG BUY4.99,RATING: HOLD3.00,RATING: BUY3.66,3.30B,-,D+,A,B-,A+,A-
2023-11-01,top_quant,4,HRTG,"Heritage Insurance Holdings, Inc.",RATING: STRONG BUY4.99,RATING: STRONG BUY5.00,RATING: BUY4.00,174.72M,-,A,A-,C+,A+,A
2023-11-01,top_quant,5,MPTI,"M-tron Industries, Inc.",RATING: STRONG BUY4.99,-RATING: NOT COVERED,-RATING: NOT COVERED,71.04M,-,C+,A-,B-,A+,A+
2023-11-01,top_quant,6,LIAN,LianBio,RATING: STRONG BUY4.99,-RATING: NOT COVERED,RATING: BUY4.33,431.89M,-,B-,C-,B-,A+,A
2023-11-01,top_quant,7,ORTX,Orchard Therapeutics plc,RATING: STRONG BUY4.99,RATING: HOLD3.00,RATING: HOLD3.00,367.78M,-,D+,A-,D,A+,A
2023-11-01,top_quant,8,MTRX,Matrix Service Company,RATING: STRONG BUY4.99,RATING: BUY4.00,RATING: STRONG BUY5.00,319.72M,-,A-,A-,D+,A+,B+
2023-11-01,top_quant,9,ESOA,Energy Services of America Corporation,RATING: STRONG BUY4.98,-RATING: NOT COVERED,RATING: STRONG BUY5.00,84.33M,-,C-,C-,D,A+,A
2023-11-01,top_quant,10,APP,AppLovin Corporation,RATING: STRONG BUY4.98,RATING: BUY3.50,RATING: BUY4.09,13.66B,-,C-,A+,A,A+,A
2023-11-01,top_quant,11,CLS,Celestica Inc.,RATING: STRONG BUY4.98,RATING: HOLD3.33,RATING: BUY4.28,3.06B,-,A-,B,B-,A+,A+
2023-11-01,top_quant,12,ELTK,Eltek Ltd.,RATING: STRONG BUY4.98,-RATING: NOT COVERED,RATING: STRONG BUY5.00,55.53M,1.81%,B,B,B-,A+,A-
2023-11-01,top_quant,13,GCT,GigaCloud Technology Inc.,RATING: STRONG BUY4.98,RATING: HOLD3.33,RATING: STRONG BUY4.66,441.98M,-,A-,A-,A-,A+,A+
2023-11-01,top_quant,14,POWL,"Powell Industries, Inc.",RATING: STRONG BUY4.98,RATING: BUY4.00,RATING: HOLD3.00,949.91M,1.31%,C-,A+,B+,A+,A+
2023-11-01,top_quant,15,STRL,"Sterling Infrastructure, Inc.",RATING: STRONG BUY4.98,RATING: BUY3.85,RATING: STRONG BUY5.00,2.34B,-,B-,B+,B+,A+,A
2023-11-01,top_quant,16,EPIX,ESSA Pharma Inc.,RATING: STRONG BUY4.98,-RATING: NOT COVERED,RATING: STRONG BUY4.75,264.61M,-,B-,C-,B,A+,A-
2023-11-01,top_quant,17,AAOI,"Applied Optoelectronics, Inc.",RATING: STRONG BUY4.97,RATING: BUY4.00,RATING: BUY4.33,315.75M,-,C-,C+,C-,A+,B+
2023-11-01,top_quant,18,RYCEY,Rolls-Royce Holdings plc,RATING: STRONG BUY4.97,RATING: BUY3.66,RATING: STRONG BUY4.66,22.86B,-,C+,A,A+,A+,A-
2023-11-01,top_quant,19,HNRG,Hallador Energy Company,RATING: STRONG BUY4.97,RATING: BUY4.00,RATING: HOLD3.00,455.38M,-,B,B,C+,A+,A
2023-11-01,top_quant,20,CAMT,Camtek Ltd.,RATING: STRONG BUY4.97,RATING: BUY3.50,RATING: BUY4.28,2.53B,-,D+,C,B+,A+,A
2023-11-01,top_quant,21,LMB,"Limbach Holdings, Inc.",RATING: STRONG BUY4.97,RATING: BUY3.60,RATING: STRONG BUY4.50,331.97M,-,B,B+,B-,A+,A
2023-11-01,top_quant,22,NR,"Newpark Resources, Inc.",RATING: STRONG BUY4.97,RATING: BUY4.00,RATING: STRONG BUY5.00,610.93M,-,D,C+,C,A+,A+
2023-11-01,top_quant,23,LWAY,"Lifeway Foods, Inc.",RATING: STRONG BUY4.97,RATING: HOLD3.00,RATING: HOLD3.00,156.12M,-,C+,A,C,A+,A
2023-11-01,top_quant,24,SMCI,"Super Micro Computer, Inc.",RATING: STRONG BUY4.97,RATING: BUY3.73,RATING: BUY4.30,13.49B,-,C-,A,A-,A+,A
2023-11-01,top_quant,25,NCMI,"National CineMedia, Inc.",RATING: STRONG BUY4.96,RATING: SELL2.00,RATING: BUY3.66,401.65M,-,A+,B,A+,A+,A
2023-11-01,top_quant,26,MPC,Marathon Petroleum Corporation,RATING: STRONG BUY4.96,RATING: HOLD3.40,RATING: BUY4.00,57.25B,1.99%,C+,B+,A+,A-,A
2023-11-01,top_quant,27,TM,Toyota Motor Corporation,RATING: STRONG BUY4.96,RATING: HOLD3.28,RATING: BUY3.50,249.53B,1.32%,D+,A+,A+,A+,A+
2023-11-01,top_quant,28,FRO,Frontline plc,RATING: STRONG BUY4.96,RATING: BUY3.85,RATING: BUY3.87,5.05B,11.34%,A-,A+,A+,A+,B
2023-11-01,top_quant,29,TCRX,"TScan Therapeutics, Inc.",RATING: STRONG BUY4.96,RATING: HOLD3.00,RATING: BUY4.40,195.10M,-,C,A-,B,A+,A+
2023-11-01,top_quant,30,COCO,"The Vita Coco Company, Inc.",RATING: STRONG BUY4.96,RATING: BUY3.60,RATING: BUY4.11,1.64B,-,D,A+,B+,A+,A+
2023-11-01,top_quant,31,GOOG,Alphabet Inc.,RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: BUY4.40,1.62T,-,D,B-,A+,A,B+
2023-11-01,top_quant,32,MOD,Modine Manufacturing Company,RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: STRONG BUY4.75,2.20B,-,C+,A,B-,A+,A+
2023-11-01,top_quant,33,GOOGL,Alphabet Inc.,RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: BUY4.39,1.62T,-,D,B-,A+,A,B+
2023-11-01,top_quant,34,PFIE,"Profire Energy, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: STRONG BUY4.50,88.96M,-,C,A-,C-,A+,A+
2023-11-01,top_quant,35,SKYW,"SkyWest, Inc.",RATING: STRONG BUY4.95,RATING: BUY3.50,RATING: HOLD3.40,1.82B,-,B+,A,C-,A+,A
2023-11-01,top_quant,36,ULBI,Ultralife Corporation,RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: STRONG BUY5.00,135.79M,-,C+,A+,C-,A+,A
2023-11-01,top_quant,37,BRK.B,Berkshire Hathaway Inc.,RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: BUY4.00,767.31B,-,C,B,A+,A-,B+
2023-11-01,top_quant,38,ADBE,Adobe Inc.,RATING: STRONG BUY4.95,RATING: BUY3.50,RATING: BUY4.10,256.63B,-,D,C+,A+,A+,A-
2023-11-01,top_quant,39,EDU,New Oriental Education & Technology Group Inc.,RATING: STRONG BUY4.95,RATING: HOLD3.00,RATING: BUY4.42,10.99B,-,D,B+,A-,A+,A+
2023-11-01,top_quant,40,NPCE,"NeuroPace, Inc.",RATING: STRONG BUY4.95,RATING: HOLD3.00,RATING: BUY4.00,185.41M,-,C-,C,C+,A+,A
2023-11-01,top_quant,41,BRK.A,Berkshire Hathaway Inc.,RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: BUY4.00,767.31B,-,C,B-,A+,A-,A-
2023-11-01,top_quant,42,VIRC,Virco Mfg. Corporation,RATING: STRONG BUY4.94,RATING: HOLD3.00,RATING: STRONG BUY5.00,99.06M,-,A,A+,C,A+,A-
2023-11-01,top_quant,43,ESEA,Euroseas Ltd.,RATING: STRONG BUY4.94,RATING: HOLD3.00,RATING: STRONG BUY4.50,186.44M,7.50%,A+,B,C,A+,A-
2023-11-01,top_quant,44,LPG,Dorian LPG Ltd.,RATING: STRONG BUY4.94,RATING: HOLD3.00,RATING: HOLD3.40,1.55B,10.51%,B+,C-,B,A+,B+
2023-11-01,top_quant,45,CMCSA,Comcast Corporation,RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: BUY4.00,173.80B,2.64%,C-,C,A+,A-,A-
2023-11-01,top_quant,46,ANET,"Arista Networks, Inc.",RATING: STRONG BUY4.94,RATING: HOLD3.44,RATING: BUY4.07,66.11B,-,D,A-,A+,A+,A-
2023-11-01,top_quant,47,TRMD,TORM plc,RATING: STRONG BUY4.94,RATING: BUY3.85,RATING: STRONG BUY5.00,2.52B,22.32%,A+,A+,B+,B+,A+
2023-11-01,top_quant,48,TAST,"Carrols Restaurant Group, Inc.",RATING: STRONG BUY4.94,RATING: BUY3.50,RATING: STRONG BUY5.00,308.69M,-,C,C+,C-,A+,A+
2023-11-01,top_quant,49,INTR,"Inter & Co, Inc.",RATING: STRONG BUY4.93,RATING: BUY4.00,RATING: HOLD3.33,1.96B,-,D+,A+,B-,A+,B+
2023-11-01,top_quant,50,PBF,PBF Energy Inc.,RATING: STRONG BUY4.93,RATING: BUY4.00,RATING: HOLD3.42,5.66B,1.74%,A,A-,B,B,A+
2023-11-01,top_quant,51,VST,Vistra Corp.,RATING: STRONG BUY4.93,RATING: BUY3.66,RATING: BUY4.44,12.86B,2.29%,C+,A,A,A+,A
2023-11-01,top_quant,52,GPOR,Gulfport Energy Corporation,RATING: STRONG BUY4.93,RATING: HOLD3.00,RATING: STRONG BUY4.83,2.48B,-,A,C-,A+,A+,C+
2023-11-01,top_quant,53,PCTI,"PCTEL, Inc.",RATING: STRONG BUY4.93,-RATING: NOT COVERED,RATING: HOLD3.00,129.49M,3.23%,B-,A+,B,A+,A+
2023-11-01,top_quant,54,BWAY,BrainsWay Ltd.,RATING: STRONG BUY4.93,RATING: STRONG BUY5.00,RATING: STRONG BUY4.60,66.72M,-,B-,B,B-,A+,B+
2023-11-01,top_quant,55,FROG,JFrog Ltd.,RATING: STRONG BUY4.93,RATING: HOLD3.00,RATING: BUY4.28,2.78B,-,A+,A+,B-,A-,A-
2023-11-01,top_quant,56,CMT,"Core Molding Technologies, Inc.",RATING: STRONG BUY4.93,RATING: BUY3.50,RATING: STRONG BUY5.00,221.36M,-,B+,A,B-,A+,A
2023-11-01,top_quant,57,VLO,Valero Energy Corporation,RATING: STRONG BUY4.92,RATING: HOLD3.42,RATING: BUY3.90,43.04B,3.20%,B+,B-,A,C,A+
2023-11-01,top_quant,58,USAP,"Universal Stainless & Alloy Products, Inc.",RATING: STRONG BUY4.92,RATING: HOLD3.00,RATING: STRONG BUY5.00,137.13M,-,B,A+,C,A+,A
2023-11-01,top_quant,59,PAGP,"Plains GP Holdings, L.P.",RATING: STRONG BUY4.92,RATING: BUY4.00,RATING: BUY3.82,3.92B,6.59%,B+,C+,C+,B+,A+
2023-11-01,top_quant,60,PSX,Phillips 66,RATING: STRONG BUY4.92,RATING: HOLD3.33,RATING: BUY4.00,51.39B,3.53%,C,B,B,B+,A
2023-11-01,top_quant,61,SPOK,"Spok Holdings, Inc.",RATING: STRONG BUY4.92,RATING: HOLD3.00,RATING: STRONG BUY5.00,318.10M,7.85%,B,B,B,A+,A
2023-11-01,top_quant,62,PDD,PDD Holdings Inc.,RATING: STRONG BUY4.92,RATING: BUY4.00,RATING: STRONG BUY4.66,141.39B,-,D,A,A+,A+,B+
2023-11-01,top_quant,63,BABA,Alibaba Group Holding Limited,RATING: STRONG BUY4.92,RATING: BUY3.97,RATING: STRONG BUY4.64,216.98B,-,B-,B,A+,B,B+
2023-11-01,top_quant,64,DDI,"DoubleDown Interactive Co., Ltd.",RATING: STRONG BUY4.92,-RATING: NOT COVERED,RATING: STRONG BUY5.00,405.84M,-,A+,C-,C-,B-,A+
2023-11-01,top_quant,65,PKOH,Park-Ohio Holdings Corp.,RATING: STRONG BUY4.91,-RATING: NOT COVERED,RATING: HOLD3.00,311.05M,1.97%,B,B+,C-,A+,C+
2023-11-01,top_quant,66,SCS,Steelcase Inc.,RATING: STRONG BUY4.91,RATING: BUY3.66,RATING: HOLD3.00,1.30B,3.51%,B+,A+,C+,A+,A+
2023-11-01,top_quant,67,ACMR,"ACM Research, Inc.",RATING: STRONG BUY4.91,RATING: BUY3.75,RATING: BUY4.28,906.04M,-,B,A,D+,A+,A+
2023-11-01,top_quant,68,PRDO,Perdoceo Education Corporation,RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: BUY4.00,1.15B,0.63%,B,C+,A-,A+,A-
2023-11-01,top_quant,69,MHO,"M/I Homes, Inc.",RATING: STRONG BUY4.91,RATING: BUY3.50,RATING: HOLD3.00,2.64B,-,A,C,A-,A+,A-
2023-11-01,top_quant,70,FUJHY,Subaru Corporation,RATING: STRONG BUY4.91,RATING: STRONG BUY4.50,RATING: HOLD3.00,13.50B,1.46%,A+,A,B+,A-,A+
2023-11-01,top_quant,71,HSBC,HSBC Holdings plc,RATING: STRONG BUY4.91,RATING: HOLD3.33,RATING: BUY4.00,143.47B,5.74%,A-,A+,A+,B+,A-
2023-11-01,top_quant,72,BZH,"Beazer Homes USA, Inc.",RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: BUY4.33,871.49M,-,A-,C-,B+,A+,A-
2023-11-01,top_quant,73,ENIC,Enel Chile S.A.,RATING: STRONG BUY4.90,RATING: BUY4.00,RATING: BUY3.50,4.22B,10.88%,A+,A+,A,A+,A+
2023-11-01,top_quant,74,MFC,Manulife Financial Corporation,RATING: STRONG BUY4.90,RATING: BUY3.50,RATING: BUY3.50,33.88B,5.65%,A,C,A+,B-,B+
2023-11-01,top_quant,75,LRN,"Stride, Inc.",RATING: STRONG BUY4.90,RATING: BUY4.33,RATING: BUY4.20,2.36B,-,C+,C+,B-,A+,A-
2023-11-01,top_quant,76,PARR,"Par Pacific Holdings, Inc.",RATING: STRONG BUY4.90,RATING: BUY3.50,RATING: BUY3.83,1.98B,-,B+,B+,C+,A-,A+
2023-11-01,top_quant,77,IGIC,International General Insurance Holdings Ltd.,RATING: STRONG BUY4.90,RATING: BUY4.00,RATING: BUY4.00,476.58M,0.36%,A-,A-,B+,A+,A+
2023-11-01,top_quant,78,UVE,"Universal Insurance Holdings, Inc.",RATING: STRONG BUY4.90,-RATING: NOT COVERED,RATING: BUY4.00,471.35M,3.96%,A+,A,B+,A+,A-
2023-11-01,top_quant,79,MLTX,MoonLake Immunotherapeutics,RATING: STRONG BUY4.90,RATING: BUY4.00,RATING: STRONG BUY4.50,2.74B,-,C,A+,C+,A+,B
2023-11-01,top_quant,80,LI,Li Auto Inc.,RATING: STRONG BUY4.90,RATING: BUY4.14,RATING: STRONG BUY4.62,36.44B,-,C+,A+,A,A+,B+
2023-11-01,top_quant,81,CRM,"Salesforce, Inc.",RATING: STRONG BUY4.89,RATING: BUY3.88,RATING: BUY4.08,201.87B,-,D+,B+,A+,A-,B+
2023-11-01,top_quant,82,ACGL,Arch Capital Group Ltd.,RATING: STRONG BUY4.89,RATING: HOLD3.00,RATING: BUY4.14,31.73B,-,D+,A,A,A+,A+
2023-11-01,top_quant,83,TPST,"Tempest Therapeutics, Inc.",RATING: STRONG BUY4.89,-RATING: NOT COVERED,RATING: STRONG BUY4.50,49.03M,-,C,A-,D,A+,B-
2023-11-01,top_quant,84,MCK,McKesson Corporation,RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: BUY4.26,60.25B,0.49%,C+,C-,A+,A,A+
2023-11-01,top_quant,85,JAKK,"JAKKS Pacific, Inc.",RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: STRONG BUY5.00,246.39M,-,A+,C+,A-,A-,A
2023-11-01,top_quant,86,YALA,Yalla Group Limited,RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: BUY4.00,895.25M,-,B+,B+,A-,A+,A
2023-11-01,top_quant,87,WEDXF,The Westaim Corporation,RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: BUY4.00,358.00M,-,B,B+,A+,A+,A+
2023-11-01,top_quant,88,TRIN,Trinity Capital Inc.,RATING: STRONG BUY4.89,RATING: BUY3.66,RATING: STRONG BUY4.50,636.50M,14.05%,A+,A+,A,A-,A-
2023-11-01,top_quant,89,USAC,"USA Compression Partners, LP",RATING: STRONG BUY4.88,RATING: HOLD3.00,RATING: SELL2.25,2.56B,8.07%,B-,C-,C,A-,A-
2023-11-01,top_quant,90,QTRX,Quanterix Corporation,RATING: STRONG BUY4.88,RATING: BUY4.00,RATING: BUY4.25,860.71M,-,C-,C+,B,A+,A
2023-11-01,top_quant,91,GHM,Graham Corporation,RATING: STRONG BUY4.88,RATING: BUY4.00,RATING: STRONG BUY5.00,181.84M,-,C-,B-,C+,A+,A+
2023-11-01,top_quant,92,DTST,Data Storage Corporation,RATING: STRONG BUY4.88,-RATING: NOT COVERED,RATING: BUY4.00,19.55M,-,A,A+,C-,A+,A
2023-11-01,top_quant,93,SPOT,Spotify Technology S.A.,RATING: STRONG BUY4.88,RATING: BUY3.55,RATING: BUY4.00,33.17B,-,D,A+,D+,A+,B+
2023-11-01,top_quant,94,CXW,"CoreCivic, Inc.",RATING: STRONG BUY4.88,RATING: SELL2.00,RATING: STRONG BUY5.00,1.51B,-,B,C+,B-,A+,A
2023-11-01,top_quant,95,TOI,"The Oncology Institute, Inc.",RATING: STRONG BUY4.88,-RATING: NOT COVERED,RATING: STRONG BUY5.00,147.37M,-,B+,B-,B,A+,A
